regime_id,n_bars,start,end,duration_days,avg_return,cum_return
0,2,2015-01-01 00:00:00+00:00,2015-01-02 00:00:00+00:00,2,-0.05263757297132293,-0.10554367062221404
1,21,2015-01-03 00:00:00+00:00,2015-01-23 00:00:00+00:00,21,-0.0027134181434033864,-0.11823951913403319
2,4,2015-01-24 00:00:00+00:00,2015-01-27 00:00:00+00:00,4,-0.01180054165118366,-0.056212126006684904
3,16,2015-01-28 00:00:00+00:00,2015-02-12 00:00:00+00:00,16,0.0009156865179284213,0.006463923832624285
4,9,2015-02-13 00:00:00+00:00,2015-02-21 00:00:00+00:00,9,0.0014061869478342562,0.0023361933649392874
5,4,2015-02-22 00:00:00+00:00,2015-02-25 00:00:00+00:00,4,0.0005001370041403108,0.0019026849671224255
6,20,2015-02-26 00:00:00+00:00,2015-03-17 00:00:00+00:00,20,0.004722496731195669,0.08405596985393138
7,18,2015-03-18 00:00:00+00:00,2015-04-04 00:00:00+00:00,18,0.0012647360985047545,0.016773301933050933
8,18,2015-04-05 00:00:00+00:00,2015-04-22 00:00:00+00:00,18,-0.005134238592047418,-0.09261769871681058
9,7,2015-04-23 00:00:00+00:00,2015-04-29 00:00:00+00:00,7,0.000245852069994168,-0.001340601417955667
10,6,2015-04-30 00:00:00+00:00,2015-05-05 00:00:00+00:00,6,-0.0043951240807559855,-0.026945336484512028
11,7,2015-05-06 00:00:00+00:00,2015-05-12 00:00:00+00:00,7,0.00421240533262928,0.028701122220246233
12,3,2015-05-13 00:00:00+00:00,2015-05-15 00:00:00+00:00,3,-0.00030751680864889625,-0.0009476345035361877
13,2,2015-05-16 00:00:00+00:00,2015-05-17 00:00:00+00:00,2,-0.006383413715331632,-0.012809466325987673
14,4,2015-05-18 00:00:00+00:00,2015-05-21 00:00:00+00:00,4,0.007697901395148726,0.030970115190707803
15,8,2015-05-22 00:00:00+00:00,2015-05-29 00:00:00+00:00,8,-0.003657112549582134,-0.02913694222633001
16,14,2015-05-30 00:00:00+00:00,2015-06-12 00:00:00+00:00,14,-0.00020581559881349687,-0.0040412624875209024
17,49,2015-06-13 00:00:00+00:00,2015-07-31 00:00:00+00:00,49,0.004186048936410879,0.211697928263203
