table_name,id,tf,n_rows,min_ts,max_ts,n_bar_seq,tf_days_min,tf_days_max,n_partial_end_true,n_partial_end_false,n_partial_start_true,n_partial_start_false,n_missing_days_true,n_missing_days_false,count_days_min,count_days_max,count_days_remaining_min,count_days_remaining_max,audit_generated_at,rows_per_bar_seq,has_snapshot_multiplicity,canonical_share,missing_days_share,tf_days_constant,tf_days_span,partial_start_share
public.cmc_price_bars_multi_tf,1,1000D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,6,1000,1000,5609,5,0,5614,0,5614,1,1000,0,999,2025-12-20T02:11:38.415963+00:00,935.6667,True,0.000891,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,100D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,57,100,100,5558,56,0,5614,0,5614,1,100,0,99,2025-12-20T02:11:38.415963+00:00,98.4912,True,0.009975,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,105D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,54,105,105,5561,53,0,5614,0,5614,1,105,0,104,2025-12-20T02:11:38.415963+00:00,103.963,True,0.009441,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,1080D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,6,1080,1080,5609,5,0,5614,0,5614,1,1080,0,1079,2025-12-20T02:11:38.415963+00:00,935.6667,True,0.000891,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,1095D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,6,1095,1095,5609,5,0,5614,0,5614,1,1095,0,1094,2025-12-20T02:11:38.415963+00:00,935.6667,True,0.000891,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,10D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,562,10,10,5053,561,0,5614,0,5614,1,10,0,9,2025-12-20T02:11:38.415963+00:00,9.9893,True,0.099929,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,140D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,41,140,140,5574,40,0,5614,0,5614,1,140,0,139,2025-12-20T02:11:38.415963+00:00,136.9268,True,0.007125,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,1440D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,4,1440,1440,5611,3,0,5614,0,5614,1,1440,0,1439,2025-12-20T02:11:38.415963+00:00,1403.5,True,0.000534,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,1460D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,4,1460,1460,5611,3,0,5614,0,5614,1,1460,0,1459,2025-12-20T02:11:38.415963+00:00,1403.5,True,0.000534,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,147D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,39,147,147,5576,38,0,5614,0,5614,1,147,0,146,2025-12-20T02:11:38.415963+00:00,143.9487,True,0.006769,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,14D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,401,14,14,5213,401,0,5614,0,5614,1,14,0,13,2025-12-20T02:11:38.415963+00:00,14.0,True,0.071429,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,150D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,38,150,150,5577,37,0,5614,0,5614,1,150,0,149,2025-12-20T02:11:38.415963+00:00,147.7368,True,0.006591,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,15D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,375,15,15,5240,374,0,5614,0,5614,1,15,0,14,2025-12-20T02:11:38.415963+00:00,14.9707,True,0.066619,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,180D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,32,180,180,5583,31,0,5614,0,5614,1,180,0,179,2025-12-20T02:11:38.415963+00:00,175.4375,True,0.005522,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,1825D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,4,1825,1825,5611,3,0,5614,0,5614,1,1825,0,1824,2025-12-20T02:11:38.415963+00:00,1403.5,True,0.000534,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,200D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,29,200,200,5586,28,0,5614,0,5614,1,200,0,199,2025-12-20T02:11:38.415963+00:00,193.5862,True,0.004988,0.0,True,0,0.0
