tf,period
100D,10
100D,21
100D,50
10D,10
10D,21
10D,50
10D,100
10D,200
10W,10
10W,21
10W,50
12M,10
15D,10
15D,21
15D,50
15D,100
15D,200
1M,10
1M,21
1M,50
1M,100
1W,10
1W,21
1W,50
1W,100
1W,200
20D,10
20D,21
20D,50
20D,100
20D,200
25D,10
25D,21
25D,50
25D,100
25D,200
2D,10
2D,21
2D,50
2D,100
2D,200
2M,10
2M,21
2M,50
2W,10
2W,21
2W,50
2W,100
2W,200
3D,10
3D,21
3D,50
3D,100
3D,200
3M,10
3M,21
3M,50
3W,10
3W,21
3W,50
3W,100
3W,200
45D,10
45D,21
45D,50
45D,100
4D,10
4D,21
4D,50
4D,100
4D,200
4W,10
4W,21
4W,50
4W,100
4W,200
5D,10
5D,21
5D,50
5D,100
5D,200
6M,10
6M,21
6W,10
6W,21
6W,50
6W,100
8W,10
8W,21
8W,50
8W,100
9M,10
